f,k,variation
0.0055,0.0532,1.3333333333333286
0.0055,0.0535,1.521568627450975
0.0055,0.0537,1.7176470588235233
0.0055,0.054,1.5019607843137202
0.0055,0.0542,1.517647058823524
0.0055,0.0545,1.4431372549019557
0.0055,0.0548,1.5647058823529356
0.0055,0.055,1.6980392156862685
0.0055,0.0553,2.243137254901953
0.0055,0.0555,1.5686274509803866
0.0055,0.0558,2.0392156862745026
0.0055,0.056,1.5372549019607789
0.0055,0.0563,1.3490196078431325
0.0055,0.0565,1.6862745098039156
0.0055,0.0568,1.8549019607843071
0.0055,0.057,1.4196078431372499
0.0055,0.0573,1.7019607843137194
0.0055,0.0575,1.6235294117647001
0.0055,0.0578,1.3176470588235247
0.0055,0.058,1.5921568627450924
0.0055,0.0583,1.4901960784313673
0.0055,0.0585,1.5921568627450924
0.0055,0.0588,1.6784313725490136
0.0055,0.059,1.0745098039215648
0.0055,0.0593,1.4509803921568576
0.0055,0.0595,1.6117647058823472
0.0055,0.0598,1.4196078431372499
0.0055,0.06,1.6196078431372491
0.0055,0.0602,1.529411764705877
0.0055,0.0605,1.8549019607843071
0.0055,0.0607,1.9529411764705813
0.0055,0.061,1.6980392156862685
0.0055,0.0612,1.5803921568627395
0.0055,0.0615,1.5372549019607789
0.0055,0.0617,1.5764705882352885
0.0055,0.062,1.3254901960784267
0.0055,0.0622,1.411764705882348
0.0055,0.0625,1.6941176470588175
0.0055,0.0628,1.5058823529411711
0.0055,0.063,1.1019607843137216
0.0055,0.0633,1.5686274509803866
0.0055,0.0635,1.4274509803921518
0.0055,0.0638,1.999999999999993
0.0055,0.064,1.6784313725490136
0.0055,0.0643,1.521568627450975
0.0055,0.0645,1.509803921568622
0.0055,0.0648,1.4901960784313673
0.0055,0.065,1.643137254901955
0.0055,0.0653,1.5529411764705827
0.0055,0.0655,2.0666666666666593
0.0055,0.0658,1.5999999999999943
0.0055,0.066,1.5647058823529356
0.0055,0.0663,1.6705882352941117
0.0055,0.0665,2.317647058823521
0.0055,0.0668,1.6627450980392098
0.0055,0.067,1.6549019607843078
0.0055,0.0673,1.5568627450980337
0.0055,0.0675,1.5843137254901904
0.0055,0.0678,1.8470588235294052
0.0055,0.068,1.627450980392151
0.0055,0.0683,1.411764705882348
0.0055,0.0685,1.6627450980392098
0.0055,0.0688,1.5058823529411711
0.0055,0.069,1.874509803921562
0.0055,0.0693,1.6901960784313665
0.0055,0.0695,1.4901960784313673
0.0055,0.0698,1.4196078431372499
0.006,0.04,4.454901960784298
0.006,0.0403,2.9960784313725384
0.006,0.0405,3.639215686274497
0.006,0.0408,1.6941176470588175
0.006,0.041,2.454901960784305
0.006,0.0413,3.4666666666666544
0.006,0.0415,3.2313725490195964
0.006,0.0418,5.35686274509802
0.006,0.042,1.5764705882352885
0.006,0.0423,1.999999999999993
0.006,0.0425,545.313725490196
0.006,0.0428,681.7882352941176
0.006,0.043,0.0
0.006,0.0433,384.86274509803917
0.006,0.0435,362.0980392156863
0.006,0.0438,418.1058823529412
0.006,0.044,428.50588235294117
0.006,0.0442,530.8196078431372
0.006,0.0445,546.1568627450981
0.006,0.0447,427.0666666666666
0.006,0.045,518.1843137254903
0.006,0.0452,466.4745098039216
0.006,0.0455,272.20784313725494
0.006,0.0457,218.2823529411765
0.006,0.046,346.2705882352941
0.006,0.0462,286.0078431372549
0.006,0.0465,1.7254901960784252
0.006,0.0467,1.647058823529406
0.006,0.047,3.0980392156862635
0.006,0.0473,1.4196078431372499
0.006,0.0475,1.647058823529406
0.006,0.0478,1.9372549019607774
0.006,0.048,1.3882352941176421
0.006,0.0483,1.7254901960784252
0.006,0.0485,1.7686274509803859
0.006,0.0488,1.4627450980392105
0.006,0.049,1.6549019607843078
0.006,0.0493,1.411764705882348
0.006,0.0495,2.098039215686267
0.006,0.0498,1.3725490196078383
0.006,0.05,1.7999999999999936
0.006,0.0503,2.5254901960784224
0.006,0.0505,1.7960784313725426
0.006,0.0508,2.082352941176463
0.006,0.051,1.7803921568627388
0.006,0.0513,1.4745098039215634
0.006,0.0515,1.513725490196073
0.006,0.0518,2.1725490196078354
0.006,0.052,1.7960784313725426
0.006,0.0522,1.631372549019602
0.006,0.0525,1.7098039215686214
0.006,0.0527,1.5843137254901904
0.006,0.053,1.7098039215686214
0.006,0.0532,1.6745098039215627
0.006,0.0535,1.411764705882348
0.006,0.0537,1.8196078431372484
0.006,0.054,1.5764705882352885
0.006,0.0542,2.337254901960776
0.006,0.0545,1.6784313725490136
0.006,0.0548,1.8431372549019542
0.006,0.055,1.7019607843137194
0.006,0.0553,1.6156862745097982
0.006,0.0555,1.5411764705882298
0.006,0.0558,1.6235294117647001
0.006,0.056,1.5058823529411711
0.006,0.0563,1.7333333333333272
0.006,0.0565,2.6431372549019514
0.006,0.0568,1.4745098039215634
0.006,0.057,1.9254901960784245
0.006,0.0573,2.0196078431372477
0.006,0.0575,1.3803921568627402
0.006,0.0578,2.011764705882346
0.006,0.058,2.2666666666666586
0.006,0.0583,1.6627450980392098
0.006,0.0585,1.3647058823529363
0.006,0.0588,1.4823529411764653
0.006,0.059,1.5686274509803866
0.006,0.0593,1.6039215686274453
0.006,0.0595,1.6627450980392098
0.006,0.0598,2.3058823529411683
0.006,0.06,1.3019607843137209
0.006,0.0602,1.6078431372548962
0.006,0.0605,1.8039215686274446
0.006,0.0607,1.756862745098033
0.006,0.061,1.6823529411764646
0.006,0.0612,1.74509803921568
0.006,0.0615,1.509803921568622
0.006,0.0617,1.2549019607843093
0.006,0.062,1.2078431372548977
0.006,0.0622,1.639215686274504
0.006,0.0625,1.639215686274504
0.006,0.0628,1.3411764705882305
0.006,0.063,1.4627450980392105
0.006,0.0633,1.403921568627446
0.006,0.0635,1.7098039215686214
0.006,0.0638,1.5882352941176414
0.006,0.064,2.431372549019599
0.006,0.0643,1.6901960784313665
0.006,0.0645,1.3647058823529363
0.006,0.0648,1.3254901960784267
0.006,0.065,2.7176470588235198
0.006,0.0653,1.4745098039215634
0.006,0.0655,1.6901960784313665
0.006,0.0658,2.1921568627450903
0.006,0.066,2.564705882352932
0.006,0.0663,1.6588235294117588
0.006,0.0665,1.6784313725490136
0.006,0.0668,1.7725490196078368
0.006,0.067,1.6941176470588175
0.006,0.0673,1.4666666666666615
0.006,0.0675,1.6078431372548962
0.006,0.0678,1.5764705882352885
0.006,0.068,1.7137254901960723
0.006,0.0683,1.4980392156862692
0.006,0.0685,1.9686274509803852
0.006,0.0688,1.286274509803917
0.006,0.069,1.4588235294117595
0.006,0.0693,1.7215686274509743
0.006,0.0695,1.4980392156862692
0.006,0.0698,1.6549019607843078
0.0065,0.04,1.7254901960784252
0.0065,0.0403,4.305882352941161
0.0065,0.0405,3.4509803921568505
0.0065,0.0408,1.5686274509803866
0.0065,0.041,1.8901960784313658
0.0065,0.0413,1.627450980392151
0.0065,0.0415,2.7450980392156765
0.0065,0.0418,2.549019607843128
0.0065,0.042,1.529411764705877
0.0065,0.0423,1.3098039215686228
0.0065,0.0425,1.4823529411764653
0.0065,0.0428,1.6627450980392098
0.0065,0.043,6.686274509803928
0.0065,0.0433,101.94901960784314
0.0065,0.0435,605.7529411764706
0.0065,0.0438,453.7450980392157
0.0065,0.044,462.7843137254902
0.0065,0.0442,1.5058823529411711
0.0065,0.0445,393.9450980392157
0.0065,0.0447,649.9176470588235
0.0065,0.045,474.11764705882354
0.0065,0.0452,564.7686274509804
0.0065,0.0455,551.592156862745
0.0065,0.0457,458.51372549019607
0.0065,0.046,403.63529411764705
0.0065,0.0462,332.2549019607843
0.0065,0.0465,421.1725490196078
0.0065,0.0467,481.4352941176471
0.0065,0.047,1.2549019607843093
0.0065,0.0473,1.3843137254901912
0.0065,0.0475,1.9529411764705813
0.0065,0.0478,2.105882352941169
0.0065,0.048,1.9019607843137187
0.0065,0.0483,1.5450980392156808
0.0065,0.0485,1.2235294117647015
0.0065,0.0488,1.517647058823524
0.0065,0.049,1.3098039215686228
0.0065,0.0493,1.756862745098033
0.0065,0.0495,1.2470588235294073
0.0065,0.0498,1.3568627450980344
0.0065,0.05,1.403921568627446
0.0065,0.0503,1.639215686274504
0.0065,0.0505,1.5999999999999943
0.0065,0.0508,1.2705882352941131
0.0065,0.051,1.3254901960784267
0.0065,0.0513,1.4352941176470537
0.0065,0.0515,1.3647058823529363
0.0065,0.0518,1.3098039215686228
0.0065,0.052,2.450980392156854
0.0065,0.0522,1.3568627450980344
0.0065,0.0525,2.219607843137247
0.0065,0.0527,1.627450980392151
0.0065,0.053,1.4274509803921518
0.0065,0.0532,1.403921568627446
0.0065,0.0535,1.2156862745097996
0.0065,0.0537,1.3882352941176421
0.0065,0.054,1.5372549019607789
0.0065,0.0542,1.529411764705877
0.0065,0.0545,1.3176470588235247
0.0065,0.0548,1.5764705882352885
0.0065,0.055,1.3098039215686228
0.0065,0.0553,1.286274509803917
0.0065,0.0555,1.2156862745097996
0.0065,0.0558,1.7176470588235233
0.0065,0.056,1.2313725490196035
0.0065,0.0563,1.2235294117647015
0.0065,0.0565,1.2627450980392112
0.0065,0.0568,1.17647058823529
0.0065,0.057,1.278431372549015
0.0065,0.0573,1.3333333333333286
0.0065,0.0575,1.3803921568627402
0.0065,0.0578,1.4509803921568576
0.0065,0.058,1.3254901960784267
0.0065,0.0583,2.317647058823521
0.0065,0.0585,1.2392156862745054
0.0065,0.0588,1.9529411764705813
0.0065,0.059,1.4666666666666615
0.0065,0.0593,1.286274509803917
0.0065,0.0595,1.3568627450980344
0.0065,0.0598,2.247058823529404
0.0065,0.06,1.2313725490196035
0.0065,0.0602,1.2705882352941131
0.0065,0.0605,1.3098039215686228
0.0065,0.0607,1.4352941176470537
0.0065,0.061,1.4901960784313673
0.0065,0.0612,1.6156862745097982
0.0065,0.0615,1.4352941176470537
0.0065,0.0617,1.278431372549015
0.0065,0.062,1.3333333333333286
0.0065,0.0622,1.6509803921568569
0.0065,0.0625,1.4196078431372499
0.0065,0.0628,1.286274509803917
0.0065,0.063,1.399999999999995
0.0065,0.0633,1.2549019607843093
0.0065,0.0635,1.3333333333333286
0.0065,0.0638,1.3882352941176421
0.0065,0.064,1.3333333333333286
0.0065,0.0643,1.3333333333333286
0.0065,0.0645,1.3882352941176421
0.0065,0.0648,1.3568627450980344
0.0065,0.065,1.4745098039215634
0.0065,0.0653,1.403921568627446
0.0065,0.0655,1.294117647058819
0.0065,0.0658,1.2078431372548977
0.0065,0.066,1.3490196078431325
0.0065,0.0663,1.3254901960784267
0.0065,0.0665,1.3568627450980344
0.0065,0.0668,1.3176470588235247
0.0065,0.067,1.5647058823529356
0.0065,0.0673,2.0549019607843064
0.0065,0.0675,2.2666666666666586
0.0065,0.0678,1.2470588235294073
0.0065,0.068,1.3098039215686228
0.0065,0.0683,1.2627450980392112
0.0065,0.0685,1.4666666666666615
0.0065,0.0688,2.3098039215686192
0.0065,0.069,1.631372549019602
0.0065,0.0693,1.8117647058823465
0.0065,0.0695,1.741176470588229
0.0065,0.0698,1.5882352941176414
0.007,0.04,1.3803921568627402
0.007,0.0403,1.5529411764705827
0.007,0.0405,1.756862745098033
0.007,0.0408,1.882352941176464
0.007,0.041,1.5921568627450924
0.007,0.0413,1.3803921568627402
0.007,0.0415,1.9372549019607774
0.007,0.0418,1.6078431372548962
0.007,0.042,1.9058823529411697
0.007,0.0423,2.094117647058816
0.007,0.0425,1.9294117647058755
0.007,0.0428,2.0627450980392084
